	index	info	link	risk	title
0	2	tc/aqhi/past-24-hours-aqhi45fd.html?stationid=80	tc/monitoring-network/air-quality-monitoring-stations45fd.html?stationid=80	低	中西區
1	2	tc/aqhi/past-24-hours-aqhie1a6.html?stationid=73	tc/monitoring-network/air-quality-monitoring-stationse1a6.html?stationid=73	低	東區
2	2	tc/aqhi/past-24-hours-aqhifb71.html?stationid=74	tc/monitoring-network/air-quality-monitoring-stationsfb71.html?stationid=74	低	觀塘
3	2	tc/aqhi/past-24-hours-aqhidb46.html?stationid=66	tc/monitoring-network/air-quality-monitoring-stationsdb46.html?stationid=66	低	深水埗
4	2	tc/aqhi/past-24-hours-aqhi30e8.html?stationid=72	tc/monitoring-network/air-quality-monitoring-stations30e8.html?stationid=72	低	葵涌
5	2	tc/aqhi/past-24-hours-aqhi228e.html?stationid=77	tc/monitoring-network/air-quality-monitoring-stations228e.html?stationid=77	低	荃灣
6	2	tc/aqhi/past-24-hours-aqhi0b35.html?stationid=83	tc/monitoring-network/air-quality-monitoring-stations0b35.html?stationid=83	低	將軍澳
7	2	tc/aqhi/past-24-hours-aqhi1f2c.html?stationid=70	tc/monitoring-network/air-quality-monitoring-stations1f2c.html?stationid=70	低	元朗
8	2	tc/aqhi/past-24-hours-aqhi537c.html?stationid=82	tc/monitoring-network/air-quality-monitoring-stations537c.html?stationid=82	低	屯門
9	2	tc/aqhi/past-24-hours-aqhif322.html?stationid=78	tc/monitoring-network/air-quality-monitoring-stationsf322.html?stationid=78	低	東涌
10	2	tc/aqhi/past-24-hours-aqhi6e9c.html?stationid=69	tc/monitoring-network/air-quality-monitoring-stations6e9c.html?stationid=69	低	大埔
11	2	tc/aqhi/past-24-hours-aqhi2c5f.html?stationid=75	tc/monitoring-network/air-quality-monitoring-stations2c5f.html?stationid=75	低	沙田
12	2	tc/aqhi/past-24-hours-aqhi233a.html?stationid=76	tc/monitoring-network/air-quality-monitoring-stations233a.html?stationid=76	低	塔門
13	2	tc/aqhi/past-24-hours-aqhi5ca5.html?stationid=71	tc/monitoring-network/air-quality-monitoring-stations5ca5.html?stationid=71	低	銅鑼灣
14	2	tc/aqhi/past-24-hours-aqhif9dd.html?stationid=79	tc/monitoring-network/air-quality-monitoring-stationsf9dd.html?stationid=79	低	中環
15	2	tc/aqhi/past-24-hours-aqhi9c57.html?stationid=81	tc/monitoring-network/air-quality-monitoring-stations9c57.html?stationid=81	低	旺角
