	title
0	['G7, G/F, 9 Kingston Street, Fashion Walk, Causeway Bay']
1	['Kiosk 5, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay\r\n']
2	['Shop B, G/F & 1/F,  6 Kingston Street, Fashion Walk, Causeway Bay']
3	['Shop G03, 2-20 Paterson Street, Fashion Walk, Causeway Bay\r\n']
4	['Shop 15A, G/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
5	['Shop 1 & 2A, G/F & Shop 1, 1/F, 2-4 Kingston Street, Fashion Walk, Causeway Bay']
6	['Shop A2, G/F, 53 Paterson Street, Fashion Walk, Causeway Bay']
7	['Shop A, G/F, 66-72 Paterson Street, Fashion Walk, Causeway Bay']
8	['Shop I, B/F, 9 Kingston Street, Fashion Walk, Causeway Bay']
9	['Kiosk 8&11, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
10	['Shop D, G/F, 5-7 Cleveland Street, Fashion Walk, Causeway Bay (Food Street)']
11	['B/F & G/F, 2-20 Paterson Street, Fashion Walk, Causeway Bay']
12	['Shop D, G/F, 50-56 Paterson Street, Fashion Walk, Causeway Bay (Food Street)']
13	['Shop C&D, G/F, 57 Paterson Street, Fashion Walk, Causeway Bay ']
14	['Shop A, G/F, 1-3 Cleveland Street, Fashion Walk, Causeway Bay']
15	['Shop 31, G/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
16	['Shops A & C, G/F, 51 Paterson Street, Fashion Walk, Causeway Bay']
17	['Shops C&D, G/F, 9-11 Cleveland Street, Fashion Walk, Causeway Bay (Food Street)']
18	['Shop C, G/F, 50-56 Paterson Street, Fashion Walk, Causeway Bay (Food Street)']
19	['Shop 2B, G/F & 1/F, 2-4 Kingston Street, Fashion Walk, Causeway Bay']
20	['Shop B, G/F, 9-11 Cleveland Street, Fashion Walk, Causeway Bay ']
21	['Shop 3, G/F & 1/F, 3 Kingston Street, Fashion Walk, Causeway Bay']
22	['Shop J, G/F, 9 Kingston Street, Fashion Walk, Causeway Bay']
23	['Shop 16B, G/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
24	['Shop F4, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
25	['Shop D, G/F, 58-64 Paterson Street, Fashion Walk, Causeway Bay  (Food Street) ']
26	['Shop C, G/F, 42-48 Paterson Street, Fashion Walk, Causeway Bay (Food Street)']
27	['Shop C, 2-4 Kingston Street, Fashion Walk,Causeway Bay']
28	['Shop B, G/F & 1/F, 8 Kingston Street, Fashion Walk, Causeway Bay']
29	['Shop A, G/F, 58-64 Paterson Street, Fashion Walk, Causeway Bay']
30	['Shop B, G/F & 1/F, 9 Kingston Street, Fashion Walk, Causeway Bay']
31	['Kiosk 1A, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
32	['G/F to 3/F, 2-20 Paterson Street, Fashion Walk, Causeway Bay']
33	['Shop B, G/F, 57 Paterson Street, Fashion Walk, Causeway Bay']
34	['Shop F-9, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay\r\n\r\n']
35	['Shop B, G/F, 58 Paterson Street, Fashion Walk, Causeway Bay']
36	['Shop B, G/F, 58-64 Paterson Street, Fashion Walk, Causeway Bay']
37	['Shop D, G/F, 42-48 Paterson Street, Fashion Walk, Causeway Bay']
38	['Kiosk 1B, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
39	['B/F, 2-4 Kingston Street, Fashion Walk, Causeway Bay']
40	['Shop 9-10 & 22-23, G/F & Shop F-8, 1/F, 11-19 Great George Street, Fashion Walk,Causeway Bay']
41	['Shop A, G/F, 9-11 Cleveland Street, Fashion Walk, Causeway Bay']
42	['Shops 6-7 & 20, G/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
43	['Shop 11A, G/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
44	['Shop A-C, G/F, 8 Kingston Street, Fashion Walk, Causeway Bay']
45	['Shop A, G/F, 42-48 Paterson Street, Fashion Walk, Causeway Bay']
46	['Shop C, G/F, 1-3 Cleveland Street, Fashion Walk, Causeway Bay (Food Street)']
47	['Kiosk 3, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
48	['Shop F7A, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay\r\n']
49	['Shop A & C, G/F, 55 Paterson Street, Fashion Walk, Causeway Bay']
50	['Shop F-10-F-16, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay\r\n']
51	['Shop 34, G/F, 11-19 Great George Street, Fashion Walk, Causeway Bay\r\n']
52	['Shop 26-27, G/F, 11 – 19 Great George Street, Fashion Walk, Causeway Bay\r\n\r\n']
53	['Shop D, G/F, 1-3 Cleveland Street, Fashion Walk, Causeway Bay']
54	['Shop C, G/F, 5-7 Cleveland Street, Fashion Walk, Causeway Bay (Food Street)']
55	['Shop B, G/F, 66-72 Paterson Street, Fashion Walk, Causeway Bay']
56	['Shops 1-2, G/F & Shop F1, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
57	['Shop B, G/F, 51 Paterson Street, Fashion Walk, Causeway Bay']
58	['Shop 3-5 & 18-19, G/F & Shop F-2, 1/F,11-19 Great George Street, Fashion Walk, Causeway Bay']
59	['Shop C&D, G/F, 66-72 Paterson Street, Fashion Walk, Causeway Bay (Food Street)']
60	['Shop A, G/F, 5-7 Cleveland Street, Fashion Walk, Causeway Bay']
61	['Shops 12-14, G/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
62	['Kiosk 6, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
63	['Shop C, G/F, 9 Kingston Street, Fashion Walk. Causeway Bay']
64	['Shop A, G/F, 57 Paterson Street, ']
65	['Fashion Walk']
66	['Kiosk 4 & 10, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
67	['Shop 4, G/F & Portion of 1/F, 9 Kingston Street, Fashion Walk, Causeway Bay (Entrance at Cleveland St)\r\n\r\n']
68	['Shop 16A, G/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
69	['Shops A & C, G/F, 51 Paterson Street, Fashion Walk, Causeway Bay']
70	['Shop K, G/F, 9 Kingston Street, Fashion Walk, Causeway Bay']
71	['Shop 29-30, G/F, 11-19 Great George Street, Fashion Walk, Causeway Bay\r\n\r\n']
72	['Shop F, G/F and 1/F, 9 Kingston Street, Fashion Walk']
73	['Shop B, G/F, 1-3 Cleveland Street, Fashion Walk, Causeway Bay']
74	['Shop F7B, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
75	['Shop A, G/F&1/F, 2-4 Kingston Street, Fashion Walk, Causeway Bay']
76	['Shop A&B, G/F, 59-65 Paterson Street, Fashion Walk, Causeway Bay']
77	['Shop B, G/F, 5-7 Cleveland Street, Fashion Walk, Causeway Bay']
78	['Shop A,C&D, G/F, 13-15 Cleveland Street, Fashion Walk, Causeway Bay (Food Street)']
79	['Shop 32, G/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
80	['Shop F-3&F-5, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay\r\n\r\n']
81	['Shop G2-3, 1/F, 9 Kingston Street, Fashion Walk, Causeway Bay']
82	['Shop B, G/F, 13-15 Cleveland Street, Fashion Walk, Causeway Bay']
83	['Shops 8 & 21, G/F & Shop 6, 1/F, 11-19 Great George Street, Fashion Walk, Causeway Bay']
84	['Shop G4, 1/F, 9 Kingston Street, Fashion Walk, Causeway Bay']
85	['Shop H2, G/F, 9 Kingston Street, Fashion Walk, Causeway Bay']
86	['Shops B & D,G/F 53 Paterson Street, Fashion Walk, Causeway Bay']
87	['Shop D, G/F, 9 Kingston Street, Fashion Walk, Causeway Bay']
