	location	tel	title
0	101	55015867	1234.93 K
1	Kiosk, B2	81009696	81 Freshmart
2	201	31517512	A LA CARTE
3	108 - 109	23367022	ABC Cooking Studio
4	Kiosk, B1	31188664	AbouThai
5	G26, G28, 119	31224282	agnès b. RUE DE MARSEILLE
6	104	31224488	AIGLE
7	G36	27368816	ASICS
8	B105	28913398	AV Life Prestige
9	119	31224282	b. DÉLICES & b. FLEURISTE at agnès b. Rue de Marseille
10	Kiosk, B1	31224133	Backers
11	223	23761234	BIRKENSTOCK
12	B203A	27362266	Borghese
13	101	59771668	B’IN Select
14	121-122	27119600	C.P.U
15	G11, G24	31224187	Calvin Klein Jeans
16	G25	24816811	Calvin Klein Performance
17	218	31224153	Calvin Klein Underwear
18	B212	25105260	Calvin Klein Watches + jewelry
19	B102	31064002	Caskells
20	201	-	Cheese BB
21	Kiosk, B2	27393311	ChikaLicious Cupcakes
22	G06, 113	25370775	Chow Tai Fook
23	B224	24761688	Clarks ORIGINALS
24	203	31883377	Columbia
25	B111C	25618122	Cookie Galerie
26	217B	27220487	côte&ciel
27	Kiosk, B2	23675098	Crabtree & Evelyn
28	G02-G04 & G17-G18	31882589	CTF Watch
29	303	35869515	D-Barn
30	B205 - B206, B208 - B210A	21435238	D-mop zone
31	120B	39745494	DEMK
32	G15A	31882139	Diamanti Per Tutti
33	B210B	23273878	Dr. Ci:Labo
34	106	36223946	Dr. Martens
35	B230A	26280616	Duras
36	221	35831250	Easy123 Dining & Cooking Studio
37	B211	65967046	ecoG
38	201	37554898	Edgar
39	shop 9 of 201	22612799	EONIQ
40	G10	31224031	FEDON
41	214-215	23667790	FILA
42	B220	26822789	Flavor Dresser
43	B101B	34283908	FLORTÉ
44	101	35498920	fokka.
45	B107	27693778	Fortress
46	G29	29180628	FRAY I.D
47	G14	23919218	Furla
48	B229B	31161332	Gelato Pique
49	G01	26175699	Global Timepieces
50	212	31224455	Haglöfs
51	208	36210473	HAIR CORNER
52	101	25189832	HAKGRID
53	G16	68844877	Hamilton
54	Kiosk, B1	95242837	Happiness Mart
55	309	-	Harrison Wong
56	Kiosk, 2F	23752626	Hedgren
57	201	27693628	Hexapi
58	Kiosk, B2	31224089	Hiroshi 宏
59	Kiosk, B1	31224131	Homie Cookies
60	B231B	31763511	Honey mi Honey
61	204	31105898	House of Samsonite
62	B106	31224113	I Love Kitchen
63	Kiosk, B2	39710500	Isabelle
64	114-115	31224088	JNBY&速写
65	105, 110 & 111	34884003	K11 Design Store
66	101 & 302	37582529	Kapok
67	307	31700222	KINSOLE
68	101	31224037	Klasse14
69	B214	31224066	L'OCCITANE
70	Kiosk, B2	98894198	Le' Sean Seasons Florist
71	B104	31224027	LensCrafters
72	301	29920132	Life Kan
73	Kiosk, 1F	27693638	LOUIS QUATORZE 
74	201	31224272	Maison Bremond 1830
75	B108-110	27217721	Mannings
76	B111 - B121	34882097	Market Place by Jasons
77	101	35847877	MATTER MATTERS GALLERY
78	B203B	26692467	Melvita
79	B204	26090077	MENARD
80	B230B & B231A	23665199	Mila Owen
81	B221	35860526	millie's
82	206 & 207	21561055	MIOGGI SPA
83	116	61996962	Miss Sixty
84	101	27220478	Mixology
85	112	31702466	Moleskine
86	B225	26598138	Moss McBlack
87	103	21179285	Motherhouse
88	Kiosk, B1	23689928	Mr. Organic
89	B223	28909882	NAIL BAR
90	120A	35905268	No Brand No Name
91	306	53367883	O+2
92	308	31189490	Offline Stall
93	G05	31224402	Omega
94	B228	27220988	ORiental TRaffic
95	B218	-	Pamycarie
96	G12	2558 8031	PANDORA
97	B122B	31770586	Patisserie Jeffery Koo
98	B202	52196517	PAUL & JOE BEAUTE
99	B217	27693768	Pinkicon
100	217A	68844877	Pokémon Hub
101	101	31224108	Recognition
102	104A	27287768	ro
103	216	31103898	ROCKPORT
104	Kiosk, B2	25744706	Sassou
105	Kiosk, 2F	25588008	Scatil
106	shop 1 - 3 of 201	21470800	Simplii Yours
107	G27	31885206	Sinequanone
108	Kiosk, B2	23750330	Skin Inc
109	B215	22173059	snidel
110	101	23750002	SON OF A KING
111	222	31224077	Sportshouse
112	101	21100737	Stars & Tart
113	Kiosk, GF	23111362	Sunglass Hut
114	B122A	37554340	Sweet Boutique de Tony Wong
115	B222	28939116	SWY
116	213	31224142	TaylorMade - adidas Golf Concept Shop
117	shop 4 of 201	54092576	THE NEXT DOOR
118	205	35869468	The North Face
119	G13	92639647	The North Face Urban Exploration
