	info	location	tel	title
0	"
						11:00 – 21:00 Mon – Sun and public holidays
						"	"
							L3 / Shop 3083"	http://ifc.com.hk/en/mall/shopping/	45R
1	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/en/mall/dining/	7 for All Mankind
2	"
						10:00 – 22:00 Mon- Sun and Public Holiday
						"	"
							L3 / Shop 3085C"	http://ifc.com.hk/en/mall/movies/	Accessorize
3	"
						10:00  – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/en/mall/happenings/	Acne Studios
4	"
						10:00 –21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1025A"	http://ifc.com.hk/en/mall/services/	Aesop
5	"
						10:00 – 21:00 Mon-Sun and Public Holidays"	"						"	http://ifc.com.hk/en/mall/parking/	agnès b. LA LOGGIA bis
6	"
Cafe: 9:30 – 21:30 Mon-Sun and Public Holidays
						"	"
							L2 / Shop 2086"	http://ifc.com.hk/en/mall/location/	AIGLE
7	"
						10:30-21:00 Mon-Sun and Public Holidays
						"	"						"	http://ifc.com.hk/en/mall/floorplan/	Alexandre Zouari Paris
8	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1088B"	http://ifc.com.hk/ic/?lang=en	Alfred Dunhill
9	"
												"	"						"	http://ifc.com.hk/clubic/en/	alice + olivia
10	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L3 / Shop 3002 – 05"	http://ifc.com.hk/en/mall/retail-leasing/	American Vintage
11	"
						10:30 – 21:00 Mon-Sun and Public Holidays
						"	"						"	http://ifc.com.hk/en/mall/	ANTEPRIMA
12	"
						10:30 – 20:30 Mon – Sun and Public Holidays 
						"	"
							L3 / Shop 3089"	http://ifc.com.hk/en/office/one-two-ifc/	APM Monaco
13	"
						10:00 – 21:00 Mon- Sun and Public Holidays
						"	"						"	http://ifc.com.hk/en/four-seasons-hotel/	Apple Store
14	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1056 – 57"	http://ifc.com.hk/en/four-seasons-place/	ARC'TERYX
15	"
						11:00 – 21:00 Mon – Sun & Public Holidays
						"	"						"	http://ifc.com.hk/en/mall/shopping/	ARTĒ Madrid
16	"
						10:00 – 21:00 Mon- Sun and Public Holidays
						"	"
							L2 / Shop 2089B"	http://ifc.com.hk/tc/mall/shopping/	Ascot Chang
17	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/sc/mall/shopping/	Atelier Cologne
18	"
						10:00 – 21:00 Mon – Sun and public holidays
						"	"
							L3 / Shop 3078B"	#category	ATSURO TAYAMA
19	"
						11:00 – 20:30 Mon – Sun and Public Holidays
						"	"						"	#listView	Audemars Piguet
20	"
						10:00 – 20:00 Mon – Sun
						"	"
							L3 / Shop 3086 – 87"	tel:2556 9745	AV Life - Prestige
21	"
						10:00 – 20:30 Mon –  Sat"	"						"	http://ifc.com.hk/mall/shop/45r/	BabyNes® Nutrition System Boutique
22	"
10:30 – 20:30 Sun and Public Holidays
						"	"
							L3 / Shop 3079-80"	tel:2722 9666	Bang & Olufsen
23	"
						10:00 – 20:30 Mon-Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/7-for-all-mankind-coming-soon/	ba&sh
24	"
						10:00 – 20:00 Mon – Sun and Public Holidays
						"	"
							L1 / Shop 1062"	tel:3101 1170 	BEYORG® | Beyond Organic
25	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/accessorize/	Bobbi Brown
26	"
						10:00 – 21:00 Mon – Sun and Public Holidays 
						"	"
							L1 / Shop 1100 – 03"	http://ifc.com.hk/mall/shop/acne-studios-coming-soon/	Boggi Milano
27	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	L2 / Shop 2091 – 95	tel:2544 4489	Bookazine
28	"
						Mon to Sun and Public Holidays: 10:00 – 20:30
						"	L3 / Shop 3093 – 97	http://ifc.com.hk/mall/shop/aesop/	BOSE
29	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	tel:2706 3116	Bottega Veneta
30	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"
							L3 / Shop 3081"	http://ifc.com.hk/mall/shop/agnes-b-la-loggia-bis/	Brooks Brothers
31	"
						10:30 – 20:00 Mon – Sat"	"						"	tel:2918 1190	Brunello Cucinelli
32	"
11:00 – 20:00 Sun and Public Holidays
						"	"
							L1 / Shop 1018A"	http://ifc.com.hk/mall/shop/aigle-2/	BVLGARI
33	"
						10:00 – 21:00 Mon – Sun and Public Holidays
						"	"						"	tel:3152 2213	Calvin Klein Underwear
34	"
						10:30 – 21:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2031"	http://ifc.com.hk/mall/shop/alexandre-zouari-paris/	CARAT* London
35	"
						10:30 – 19:30 Mon – Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/alfred-dunhill/	CÉLINE
36	"
						10:00 – 21:00 Mon – Sun and Public holidays
						"	"
							L1 / Shop 1008"	tel:2234 7253	CHANEL BEAUTÉ (Coming soon)
37	"
						10:00 – 21:00 Mon –Sun and Public Holidays
						"	"						"	http://ifc.com.hk/mall/shop/alice-olivia/	CHANEL BEAUTÉ Pop-up
38	"
						10:30 – 20:00 Mon – Sun and Public Holidays
						"	"
							L2 / Shop 2090"	tel:2234 7859	Chateau Bardens
39	"
						10:00 – 21:00 Mon – Fri, Sun and Public Holidays"	"						"	http://ifc.com.hk/mall/shop/american-vintage/	CHAUMET
40	"
10:00 – 20:00  Sat
						"	"
							L2 / Shop 2040"	tel:2167 7386	Chopard
41	"
						10:00 – 21:00 Mon – Fri, Sun and Public Holidays"	"						"	http://ifc.com.hk/mall/shop/anteprima/	Chow Sang Sang
42	"
10:00 – 20:00  Sat
						"	"
							L2 / Shop 2002 – 03"	tel:21170230	city’super
