	location	title
0	127a	1+1 專業眼鏡
1	G18a & b	759 阿信屋
2	G25-26	A-1 BAKERY & Chateraise
3	UG73 & 75	adidas
4	UG38	adlib
5	UG25	At Twenty
6	117	Bien Bistro
7	UG27	Bless
8	G31	Blesscuit Bakery (祝奇餅)
9	UG53	blueplace
10	129	Brilliant Hair Salon
11	UG32	BSX
12	133	C' Hair (Hair Products and Consultant)
13	UG77	Catalog
14	UG59	CHEVIGNON
15	126	Chickeeduck
16	UG01	City Chain Primo
17	UG61	Columbia
18	UG70	Cotima
19	G61a	crocs
20	130	Dead Sea Mor
21	G76c & d	DG Lifestyle Store
22	UG48	Dickies
23	G47	Dr. Kong 健康鞋專門店
24	UG46	eGG Optical Boutique 
25	UG19	Emack & Bolio's
26	UG22 & 26	Esprit
27	UG09	FANCL
28	G51 & 53	FOOTSPOT
29	147	快圖美
30	UG79	GODIVA
31	G29	Goobne
32	G23	泰巷
33	UG15	I-PRIMO
34	UG39	ICE FIRE
35	UG36	Kardindas
36	122	Kellynana
37	135	Kingkow
38	UG16	Levi’s® 
39	UG33	Lisa & Sara
40	UG05	浪琴表
41	UG03	MaBelle
42	106	美康
43	UG18	millie's 妙麗
44	109	Monza
45	UG56	Mushroom
46	G06-09	NIKE
47	UG72	NOP
48	UG65	Onitsuka Tiger
49	113	有機足印
50	UG41	OS PLUS
51	UG11b	PANDORA
52	UG52b	PLEN+Y
53	UG80	Porter International
54	UG42	PUMA
55	UG78	Quiksilver & ROXY
56	UG23	Ray-Ban
57	UG51	re:ech.o
58	UG40	Reebok
59	UG10	Rolex & Tudor
60	132	Royal Brand
61	UG49	S & T 行李箱‧手袋
62	UG67	SKECHERS
63	111a	Something
64	UG60 & 62	星巴克咖啡店
65	UG82	swatch
66	G11 & 12	T Café 1954
67	UG29	The Ash
68	G38 & 40	紐西蘭專賣店
69	UG11a	The Body Shop
70	UG57	The Overlander
71	UG35	THE UNIT STORE
72	UG08	滴逹鐘錶
73	UG12 & 13	Timberland
74	136	微影
75	115	Tiramisu pick me up!
76	G76a&b	Tom N Toms Coffee
77	116	Triple-O's
78	128, 137-146	UNIQLO
79	UG50	VANS
80	G72	Veeko
81	UG20	Walker Shop
82	G57 & G59	wanko
83	UG45	屈臣氏酒窖
84	UG52a	一芳台灣水果茶
85	G30, 32 & 36	上海婆婆
86	G20b	中原地產
87	G65 & 67-69	中國銀行(香港)
88	G49	位元堂
89	G37	余仁生
90	131	公文式荃灣教育中心
91	G20a	利嘉閣地產
92	G35	北京同仁堂
93	G81a & b	卡萊美
94	UG02	周生生
95	UG43 & 81	唐宮小聚
96	FC3 & 5	大家樂 (裝修中)
97	118	大戶屋
98	119, 121, 123 & 125	大眾書局
99	G16b	大福珠寶
100	G43	奇華餅家
101	127b-d	家品世家
102	G10	康宏醫務中心
103	UG58	愛視美眼鏡
104	G78	摩斯漢堡
105	120	斗室
106	G55	正官庄
107	G21 & 22, UG69 & 71	滙豐銀行
108	G46	滿記甜品
109	G48, 50	牛太
110	G52, 56&58	牛陣
111	UG17	百菓稜庵
112	G16a	眼鏡88
113	G45	維特健靈
114	G17	美心西餅
115	G19a	美聯物業
116	105 & 107	翠園
117	UG07	英皇珠寶
118	G60, G62, G79	茶木‧台式休閒餐廳
119	G73 & 75	莎莎
120	G33	華潤堂
121	G39 & 41	萬寧
122	111b	薑心比心
123	G66 & 80	豐澤
124	102	雅芳婷
125	G61b & 63	零食物語
126	UG31	靚靚日本化妝品專門店
127	G19b	香港置業
128	UG63	馬拉松
129	G01-05, 70-71, UG47, 66, 68	馬莎百貨
130	UG28 & 30	魚米家
131	UG37	鳴門魚市場居酒屋
132	G42	鴻福堂自家湯涼茶坊
133	G13 & 15	麥奀雲吞麵世家
134	G01	7-11便利店
135	UG56 & 57	兒童流行舞蹈學院
136	UG67	Bubbly English
137	G16	花旗銀行
138	UG52	荃新天地2客户服務中心
139	UG15-16 & 48-49	Coo Gallery
140	G13 & 15	eCosway
141	UG05-07	歐品傢俬
142	106-108	美樂文化•音樂
143	UG22-23	GR play
144	UG39	Helen
145	UG80	千悠髮型用品
146	UG79	INADA 稻田
147	UG 61, 68-69	啟言英語教育中心
148	UG53	Kid Smart
149	UG87	果物屋
150	UG17-19, 42, 46 & 47	KUKA Home
151	UG65b	悅學
152	UG01-03	Marco’s Oyster Bar & Grill
153	UG81	Market Place by Jasons
154	125	炑八韓烤
155	105	NAIL DE ART
156	UG26-28 & 37-38	namco
157	UG40-41	Nefertiti
158	UG78	NIKKO
159	UG12-13	Play Together
160	UG89 & 90	太興
161	UG20-21	Taste of Italy
162	G12 & UG65a & UG66	中原地產
163	UG88	健怡坊
164	101-103	儷凝美聚
165	G18	先施
166	UG43-45	唐朝髮型
167	Cinema & Foyer, 109 & 121	嘉禾荃新天地
168	112	小王子藝術及教育中心
169	G66-68	屈臣氏
170	UG85-86	新台場
171	113, 115-117	日本城
172	UG59	札幌拉麵
173	UG82 & 83	板長壽司 & 自家烏冬
174	UG50	樂坊
175	UG09-11	漁屋日本料理
176	118	演奏‧家鋼琴音樂學院
177	G69	牛角日本燒肉專門店
178	UG51	神采美容
179	UG25	華光兒科 
180	UG70-77	萬寧
181	G57b	譚仔三哥米線
182	G02-06	足君好沐足保健中心
183	UG60	辛味屋
184	UG62-63	鋼琴家音樂中心
185	110-111 & 119-120	青苗琴行
186	126-128	麗都總廚
187	130-133 & 135	麗都讌客
