	floor	shopno	tel	title
0	MTR Floor	M07	+852 3988 2388	BOCHK AUTOMATED BANKING SERVICES CENTRE
1	MTR Floor	M05	+852 2555 0417	Circle K Convenience Store
2	MTR Floor	M10	+852 2151 1190	euro go go
3	MTR Floor	M02	+852 2791 2833	Family shop
4	MTR Floor	M06	+852 3621 0988	GONG CHA
5	MTR Floor	M12	+852 2233 3000	HSBC ATM
6	MTR Floor	M08	+852 2898 2535	Pak Don Chicken Rice
7	MTR Floor	K4	+852 2715 0933	S.S Money Exchange
8	MTR Floor	M03-M04	+852 3401 4740	SAINT HONORE CAKE SHOP
9	MTR Floor	M09	+852 3621 0988	Sushi Take Out
10	MTR Floor	M01	+852 2717 3421	WALNUT SHOP
11	MTR Floor	M11	+852 2230 3030	中港通
12	LG2	LG202-LG203	+852 2793 0326	Hokkaido Dairy Farm
13	LG2	LG204	+852 2956 3579	Hui Lau Shan
14	LG2	LG201	+852 2702 1838	Snack Express
15	LG2	LG205	+852 2711 3603	Super Super Congee & Noodles
16	LG1	LG101	+852 2709 0488	iPostal Station
17	G/F	G29	+852 2433 1828	3 Shop
18	G/F	G10	+852 9762 0948	BANDAI
19	G/F	G31	+852 2591 0492	Bentoya 弁当や 便當屋
20	G/F	G18 - G19	+852 3580 0398	BSX
21	G/F	G28	+852 2349 8884	Cafe Pho 1975 
22	G/F	G25	+852 2461 1512	Charming Beauty Saloon 
23	G/F	G14 & G27	+852 2757 7228	CHECKPOiNT
24	G/F	G09	+852 2164 0080	D CORNER RESTAURANT
25	G/F	G40	+852 3514 4101	ESPRIT
26	G/F	G16	+852 2760 1121	EYE'SMATE OPTICAL
27	G/F	G02-G05	+852 2319 2030	FREE MIX
28	G/F	G38	+852 2149 0828	GIORDANO
29	G/F	G30	+852 2340 0085	GRILL n MORE
30	G/F	G28A	+852 3498 3498 (Service Hotline)	Grove Cafe
31	G/F	G32	+852 2870 1466	HONG KONG BROADBAND NETWORK LTD
32	G/F	G15	+852 2611 9813	JEANSWEST
33	G/F	G22	+852 2882 8234	JjPn
34	G/F	G36	+852 2709 0112	JOYO
35	G/F	G21	+852 2717 1038	KT5
36	G/F	G06 - G07	+852 2162 3039	LA PALMA
37	G/F	G20	+852 2489 2226	LENSCRAFTERS
38	G/F	G11	+852 2757 5163	LEONA
39	G/F	G17	+852 2753 9977	MaBelle
40	G/F	G08	+852 2758 1366	Maureen
41	G/F	G37	+852 2668 5090	MDX
42	G/F	G35	+852 2673 1600	Mushroom
43	G/F	G26	+852 2711 1100	ORGANIC BEAUTY
44	G/F	G34	+852 2760 1120	PAPRIKA
45	G/F	G01	+852 2677 6860	PUMA
46	G/F	G12 & G13	+852 9316 2630	rapee-LIVING
47	G/F	G23	+852 2297 0166	ST.ANGELO Art Center
48	G/F	G41	+852 2776 9222	Tai Hing
49	G/F	G16A	+852 2323 9993	WATCH OUT
50	G/F	G39	+852 2408 7800	Weather Guide
51	1/F	111	+852 2409 1932	85°C
52	1/F	125	+852 2868 2996	Baleno
53	1/F	126	+852 2157 0329	colourmix
54	1/F	114	+852 2316 2788	Cottex
55	1/F	104-105	+852 2568 3851	Footspot
56	1/F	112	+852 2295 0937	Genki Sushi
57	1/F	109	+852 2377 3100	Gitti
58	1/F	121	+852 2368 8115	Grand Home Property
59	1/F	115	+852 3194 0111	GREEN THAI
60	1/F	116	+852 2198 3744	HAIR 3000 Professional Hair Products
61	1/F	103	+852 2295 1266	Hang Seng Bank
62	1/F	113	+852 2413 3638	Heart To Heart Jewellery
63	1/F	136	+852 2799 3203	ICBC (Asia) ATM
64	1/F	130	+852 3620 3560	Living Plaza by AEON
65	1/F	127	+852 2104 2118	M3
66	1/F	133 - 134	+852 2662 2139	Marugame Seimen
67	1/F	132	+852 2772 1002	Muzi Dessert
68	1/F	131	+852 2885 6742	Noble Diamond
69	1/F	128	+852 2359 3300	Pe:tite
