	location	name	open_time	tele
0	Shop 616 L6 Phase I	1O1O	11:00-22:00	26041010
1	Shop 510-512 L5 Phase I	5cm	11:00-22:00 (Sun-Thu & PH) 11:00-23:00 (Fri&Sat)	26976015
2	Shop 407 L4 Phase I	:CHOCOOLATE	11:30-22:30	24300662
3	Shop 419-420 L4 Phase I	AAPE BY A BATHING APE®	11:30-22:30	25659307
4	Shop 365 L3 Phase I	Accessorize	11:00-22:00	26021911
5	Shop A303 L3 Phase III	ad-lib	11:00 - 22:00	31840303
6	Shop 526 L5 Phase I	adidas	11:00-22:00	26011893
7	Shop 621 L6 Phase I	Afflelou Paris	11:00-22:00	31067253
8	Shop 390-392 L3 Phase I	agnès b.	11:00-22:00	26030268
9	Shop 501-502 L5 Phase I	AIGLE	11:00-22:00	26880302
10	Shop 204A L2 Phase I	APIVITA	10:00-22:00	26991859
11	Shop 389 L3 Phase I	APM Monaco	11:00-22:00	37554312
12	Shop 426-428 L4 Phase I	Apple	10:00-22:00	38997800
13	Shop A395 L3 Phase III	ARTĒ Madrid	10:00 - 22:00	35802813
14	Shop 522 L5 Phase I	ASHWORTH	11:00-22:00	26974231
15	Shop 621A L6 Phase I	ASUS	11:00-21:00	21111702
16	Shop 618 L6 Phase I	AV Life	11:00-21:30	26913998
17	Shop 236 L2 Phase I	Aveda Experience Center	11:00-22:00	21132717
18	Shop A396 L3 Phase III	Aveda Experience Center	10:00 - 22:00	26026218
19	Shop 411 L4 Phase I	AVENUE 1218	11:00-22:00	25167078
20	Shop 421 L4 Phase I	A|X ARMANI EXCHANGE	11:00-22:00	26810883
21	Shop 301 L3 Phase I	Bally	11:00-22:00	23662588
22	Shop 608 L6 Phase I	Bank of China (Hong Kong)	09:00-17:00 (Mon-Fri) 09:00-13:00 (Sat)	39882388
23	Shop 527 L5 Phase I	bauhaus	11:30-22:00	26066915
24	Shop 638 L6 Phase I	BEIJING TONG REN TANG (Coming Soon)	TBC	
25	Shop A382b L3 Phase III	Benefit	11:00 - 22:00	26043603
26	Shop A310 L3 Phase III	Bess	11:00 - 22:00	26880345
27	Shop Kiosk 3A L3 Phase I	BEYORG BEYOND ORGANIC	10:00-22:00	24333398
28	Shop A390 L3 Phase III	Bioderma	11:00 - 22:00	26998006
29	Shop 218 L2 Phase I	BIOTHERM	10:00-22:00	26987707
