	0	1	2
0	Shop Name	Shop no.	Floor
1			
2	5cm	Shop no. B223B	b2F
3	a.testoni	Shop no. 425	4F
4	Aape BY A BATHING APE	Shop no. B225B	b2F
5	Adidas Originals	Shop no. 627	6F
6	AGATHA	Shop no. 513	5F
7	agnès b.	Shop no. 503-504	5F
8	agnes b. café l.p.g. & agnes b. DELICES	Shop no. Kiosk 6/F	6F
9	AIGLE	Shop no. 714	7F
10	Alfred Dunhill	Shop no. 321	3F
11	American Eagle Outfitters	Shop no. B203B	B2F
12	amika:	Shop no. b210A	b2F
13	AMOREPACIFIC	Shop no. 408	4F
14	APIVITA	Shop no. B219	B2F
15	APM Monaco	Shop no. 406-7	4F
16	Aquascutum	Shop no. 426	4F
17	ARTĒ	Shop no. 413	4F
18	ASH	Shop no. 609-610	6F
19	ASHWORTH	Shop no. 705	7F
20	At Twenty	Shop no. 633	6F
21	ATSURO TAYAMA	Shop no. 505	5F
22	AV Life	Shop no. 823-824	8F
23	AX ARMANI EXCHANGE	Shop no. 619-621	6F
24	B.Duck	Shop no. 904A	9F
25	ba&sh	Shop no. 526	5F
26	Bauhaus	Shop no. 615	6F
27	Benefit	Shop no. B206A	b2F
28	Biotherm	Shop no. B223A	b2F
29	Birkenstock	Shop no. 611-12	6F
30	Bose	Shop no. 809-10	8F
31	Bottega Veneta	Shop no. 205-08	2F
32	Broadway	Shop no. 915	9F
33	Broadway	Shop no. 814-816	8F
34	Brooks Brothers	Shop no. 429	4F
35	Budaoweng Hotpot Cuisine	Shop no. 1101	11F
36	Calvin Klein Jeans and Calvin Klein Underwear and Calvin Klein Performance	Shop no. 617-618	6F
37	Calvin Klein Platinum	Shop no. 515A	5F
38	Calzedonia	Shop no. B221D	b2F
39	CAMPER	Shop no. 616	6F
40	CANVAS	Shop no. B210B	B2F
41	CASIO G-FACTORY	Shop no. 913	9F
42	CATALO	Shop no. 912	9F
43	Caudalie	Shop no. B221B	b2F
44	CÉLINE	Shop no. 314-315	3F
45	CERRUTI 1881	Shop no. 432-433	4F
46	CHANEL	Shop no. 209-10	2F
47	CHANEL BEAUTÉ	Shop no. B238-39	B2F
48	CHAUMET	Shop no. 306B-07	3F
49	Chevignon	Shop no. 632	6F
50	Chow Sang Sang	Shop no. B230-31	b2F
51	Chow Tai Fook	Shop no. B233-35	b2F
52	Chung s Kitchen	Shop no. 1201	12F
53	CHUNG YUEN	Shop no. 822	8F
54	CITY CHAIN	Shop no. 921	9F
55	city’super	Shop no. B1	b1F
56	ck Calvin Klein Watch & Jewelry	Shop no. B224B	b2F
57	Club Albergue 1601	Shop no. 1105	11F
58	Club Monaco	Shop no. 525	5F
59	Coach	Shop no. 302-304	3F
60	Cole Haan	Shop no. 509-510	5F
61	Columbia Sportswear Company	Shop no. 726	7F
62	cookedDeli	Shop no. B1	b1F
63	Coronet	Shop no. 613	6F
64	CRABTREE & EVELYN	Shop no. B240	b2F
65	Crystal Jade La Mian Xiao Long Bao	Shop no. B221A	B2F
66	D’URBAN	Shop no. 708 – 709	7F
67	DE BEERS	Shop no. 213	2F
68	DELSEY	Shop no. 813	8F
69	DG Lifestyle Store	Shop no. 917	9F
70	DIESEL	Shop no. 528-529	5F
71	Dior	Shop no. 214-215	2F
72	Dior Beauty	Shop no. B207B	B2F
73	Dior Homme	Shop no. 216-17	2F
74	Dolphin BB	Shop no. Suite 1303B	13AF
75	Donguri Republic	Shop no. 925C	9F
76	ecco	Shop no. B211	b2F
77	Elegant Watch & Jewellery	Shop no. 801-3	8F
78	Elegant Watch & Jewellery - Cartier	Shop no. 805-6	8F
79	Elevatione	Shop no. B212A	b2F
80	ENMARU IZAKAYA	Shop no. 1001A	10F
81	Eu Yan Sang	Shop no. 916B	9F
82	EVISU	Shop no. 630	6F
83	Facesss	Shop no. 401-4	4F
84	FANCL	Shop no. B226-27	b2F
85	FENDI	Shop no. 316-317	3F
86	FILA	Shop no. 727	7F
87	Forbidden Duck	Shop no. 1001B	10F
88	Fortress	Shop no. 914	9F
89	Fortress	Shop no. 818-821	8F
90	FRED PERRY	Shop no. B223C	b2F
91	Furla	Shop no. 530	5F
92	G-STAR RAW	Shop no. 605	6F
93	Geox	Shop no. 629	6F
94	GERMAIN / LANCASTER	Shop no. 625	6F
95	GIVENCHY	Shop no. 310-311	3F
96	Go Wild	Shop no. 702	7F
97	Granite Gear	Shop no. 910	9F
98	GREEN HOUSE	Shop no. 1004	10F
99	GUCCI	Shop no. 201-04	2F
