	Cat	No	Tel	Title	Zone
0	Fashion	1007A	27229670	7 For All Mankind	Fire
1	Personal Care and Beauty	2118	26733789	Aesop	Wood
2	Fashion	1007	21968698	AIGLE	Fire
3	Fashion	1021-21A	26493098	Alexander McQueen	Metal
4	Fashion	1048	24682401	anagram	Water
5	Fashion	2067	21968608	Anteprima	Water
6	Jewelry and Accessories	1096	23968611	APM Monaco	Wood
7	Jewelry and Accessories	1009A	28809189	ARTĒ	Earth
8	Fashion	2005A	21968438	Ascot Chang	Fire
9	Jewelry and Accessories	2018-19	21968383	AUDEMARS PIGUET	Metal
10	Electronics	2100A	27306844	Bang & Olufsen 	Wood
11	Personal Care and Beauty	2114	23666208	Beijing Hair Culture	Wood
12	Fashion	2123-26	26188007	Berluti	Fire
13	Personal Care and Beauty	2110	21968408	Bobbi Brown	Wood
14	Fashion	1041	27302566	BOSS	Metal
15	Fashion	2060A-61A	21968787	Bottega Veneta	Metal
16	Fashion	2007 & 2008A	27791508	Brioni	Fire
17	Fashion	1068	26738703	Brooks Brothers	Earth
18	Fashion	1034-37	27350039	Burberry	Metal
19	Jewelry and Accessories	2040	21968228	BVLGARI	Metal
20	Fashion	2071	21968696	Calvin Klein Jeans and Calvin Klein Underwear	Water
21	Jewelry and Accessories	2057-59	81055008	Cartier	Metal
22	Fashion	2013-13A	25014668	Céline 	Earth
23	Fashion	2089-91	27558180	CHANEL	Metal
24	Personal Care and Beauty	2101	21968289	CHANEL BEAUTÉ 	Wood
25	Jewelry and Accessories	2022-23	21968668	CHAUMET	Metal
26	Jewelry and Accessories	2056	25662133	Chopard	Metal
27	Jewelry and Accessories	1077-77A	21968680	Chow Sang Sang	Wood
28	Fashion	2092-96	28135955	Christian Dior	Earth
29	Fashion	2006	21968452	Church’s	Fire
30	Personal Care and Beauty	1078	21968480	CLINIQUE	Wood
31	Fashion	1083	21968628	COCKTAIL	Wood
32	All Great Sports	1101	21746987	d2r	Fire
33	Fashion	2106-07	21968151	DAKS 	Wood
34	Jewelry and Accessories	2030	21968798	DAMIANI	Metal
35	Jewelry and Accessories	2040A	23288895	DE BEERS	Metal
36	Personal Care and Beauty	2113	27355268	DIOR BEAUTY	Wood
37	Fashion	2097	28135715	DIOR HOMME	Earth
38	Fashion	2028-29	27519188	Dolce&Gabbana	Metal
39	Fashion	2039	26573088	dunhill	Metal
40	Jewelry and Accessories	1097A	21968533	Emphasis Jewellery	Wood
41	Fashion	2083-85	21968384	EMPORIO ARMANI	Metal
42	Fashion	2024	28054213	Ermenegildo Zegna	Metal
43	Personal Care and Beauty	2111	21968493	Estee Lauder	Wood
44	Fashion	1049B	27851011	EVISU	Water
45	Personal Care and Beauty	1091B	31858317 	FANCL	Wood
46	Fashion	2016-17	21968259	FENDI	Metal
47	Fashion	2015	21463422	FENDI MEN	Earth
48	Electronics	1072-73	21968252	Fortress	Earth
49	Jewelry and Accessories	2037A	21533529	FRANCK MULLER 	Metal
50	Jewelry and Accessories	2021	29156618	FRED	Metal
51	Personal Care and Beauty	1089A	23279211	Fresh	Wood
52	Fashion	2079	23280505	FURLA	Wood
53	Fashion	2011-12	21770988	Giorgio Armani 	Earth
54	Personal Care and Beauty	2102	21968261	GIORGIO ARMANI beauty	Wood
55	Fashion	1033	27995539	Giuseppe Zanotti Design	Metal
56	Fashion	1020A	28660377	Givenchy	Metal
57	Jewelry and Accessories	1023-24	27304388	Glasstique	Metal
58	Fashion	2064	21968088	GUCCI	Metal
59	Fashion	2003	26013008	Harmont & Blaine 	Fire
60	Fashion	1032	21968028	HERMÈS	Metal
61	Fashion	1071	21968908	HOGAN	Earth
62	Personal Care and Beauty	1000	21968363	IL COLPO Nail	Fire
63	Electronics	2001A	28888233	io.t by HKT	Fire
64	Jewelry and Accessories	2008B	21968639	IWC	Fire
65	Fashion	2004	2881 0127	J. Lindeberg 	Fire
66	Fashion	1063	21968966	Jimmy Choo	Metal
67	Personal Care and Beauty	2116	28610390	Jo Malone London	Wood
68	Fashion	1015-16	29978618	Juicy Couture 	Earth
69	Fashion	1046	21968238	Karen Millen 	Water
70	Fashion	2005B	23177616	Kent & Curwen	Fire
71	Fashion	1059	37912033	KENZO	Metal
72	Personal Care and Beauty	1087	21968348	Kiehl’s 	Wood
73	Fashion	2036A & 2042 	28818818	KWANPEN	Metal
74	Personal Care and Beauty	1094	28921683	L’OCCITANE	Wood
75	Personal Care and Beauty	2115	22657371	La Prairie	Wood
76	Personal Care and Beauty	2112	21968321	Lancôme 	Wood
77	Jewelry and Accessories	1007B	25305444	Lane’s	Fire
78	Jewelry and Accessories	1102A 	21968233	LensCrafters	Fire
79	Fashion	2038-38A	21968622	Loewe	Metal
80	Fashion	1042-43	28827233	LONGCHAMP	Metal
81	Fashion	2010	39040860	Loro Piana	Earth
82	Fashion	2048-56	81001182	LOUIS VUITTON	Metal
83	Personal Care and Beauty	1095	21968050	M.A.C	Wood
84	Fashion	1061	26567311	maje	Metal
85	Personal Care and Beauty	1092	21968125	Mannings	Wood
86	Fashion	1017	24329118	Manolo Blahnik	Metal
87	Fashion	2109	27988807	Marie France Van Damme	Wood
88	Fashion	1011-12	27019288	Marimekko	Earth
89	Fashion	1060	28366866	MARYLING	Metal
90	Fashion	2081-82	27229684	Max Mara	Wood
91	Fashion	2080	27229620	MAX&Co.	Wood
92	Fashion	1040	28901688	MICHAEL KORS	Metal
93	Jewelry and Accessories	2031	21968570	MIKIMOTO	Metal
94	Fashion	2034-35	21968621	Miu Miu	Metal
95	Fashion	1088	39745798	MO&Co. Edition10 	Wood
96	Fashion	2077	25246131	MOISELLE	Wood
97	Fashion	2043-44	27109886	MONCLER	Metal
98	Jewelry and Accessories	2099	21968788	Montblanc	Earth
99	Fashion	1058	27950178	MOSCHINO	Metal
100	Arts, Home and Gifts	1093	800968821	Nespresso	Wood
101	Kid's Wear and Toys	1103	21968000	Nicholas & Bears	Fire
102	Personal Care and Beauty	1078	21968423	Origins	Wood
103	Jewelry and Accessories	1010	23628893	Pandora	Earth
104	Fashion	2121	21968241	Paul&Shark 	Wood
105	Jewelry and Accessories	2045	23276601	Peonia Diamond	Metal
106	Fashion	1013-14	35801803	PHILIPP PLEIN	Earth
107	Jewelry and Accessories	2020	21968402	Piaget	Metal
108	Jewelry and Accessories	1009B 	27501096	POMELLATO 	Earth
109	Fashion	2062A-63A	21968981	PRADA	Metal
110	Jewelry and Accessories	1098-99 & 2122	23011112	Prince Jewellery & Watch	Fire
111	Jewelry and Accessories	2119-20	21776728	Puyi Optical	Wood
112	Jewelry and Accessories	1009C	23602863	Qeelin	Earth
113	Fashion	1064	24062338	R · SANDERSON	Metal
114	Fashion	2078	26770855	Repetto	Wood
115	Jewelry and Accessories	2036 & 2036B	24661268	RICHARD MILLE	Metal
116	Bags and Travel Accessories	2129	27899300	Rimowa	Fire
117	Fashion	1065	28983960	Roger Vivier	Metal
118	Jewelry and Accessories	2041	27306388	ROLEX	Metal
119	Fashion	2098	24621313	Saint Laurent 	Earth
120	Fashion	2086-88	21968031	Salvatore Ferragamo	Metal
121	Bags and Travel Accessories	1102B	21968126	Samsonite Black Label	Fire
122	Fashion	1062	23203378	sandro	Metal
123	Fashion	1018	26706028	Sergio Rossi	Metal
124	Fashion	1022	21968200	Shanghai Tang	Metal
125	Fashion	2065	27716238	SHIATZY CHEN	Water
126	Personal Care and Beauty	2101A	29979368	Sisley Paris	Wood
127	Personal Care and Beauty	1079	29071512	SK-II	Wood
128	Fashion	1069-70	27223136	Sportmax	Earth
129	Fashion	1084-85	28191433	SUPERDRY	Wood
130	Jewelry and Accessories	1100	21968776	Swarovski	Fire
131	Fashion	2066	21968298	the address by EQ:IQ	Water
132	Jewelry and Accessories	1038-39	21968500	Tiffany & Co.	Metal
133	Fashion	1066-67	26612988	TORY BURCH	Earth
134	Fashion	2108	27246303	TSE	Wood
135	Bags and Travel Accessories	2127	21684100	TUMI	Fire
136	Fashion	2025-27	21968662	VALENTINO	Metal
137	Fashion	2046	27929077	VERSACE	Metal
138	Fashion	1049A	23859318	VIVIENNE TAM	Water
139	Fashion	1055	26176168	Y-3 	Wood
140	Personal Care and Beauty	2117	31924338	YSL Beauté	Wood
141	Fashion	1056-57	21968970	Zara Men	Wood
142	Fashion	1051-54	21968970	Zara Women	Water
