	info	link	title
0		/cinema/details/35	The Grand Cinema
1		/cinema/details/46	UA iSQUARE
2		/cinema/details/48	百老匯 The ONE
3		/cinema/details/1	AMC 太古廣場
4		/cinema/details/DVQx6	Cinema City JP
5		/cinema/details/11	UA Cine Times
6		/cinema/details/52	寶石戲院
7		/cinema/details/38	新寶 總統戲院
8		/cinema/details/6	百老匯 PALACE ifc
9		/cinema/details/27	百老匯電影中心
10		/cinema/details/47	皇室戲院
11		/cinema/details/ge2n6	英皇戲院-中環娛樂行
12		/cinema/details/59	Cinema City 朗豪坊
13		/cinema/details/55	UA Cine Moko
14		/cinema/details/7	UA MegaBox
15		/cinema/details/53	嘉禾 the sky
16		/cinema/details/15	嘉禾 黃埔
17		/cinema/details/39	新寶 新寶戲院
18		/cinema/details/40	新寶 豪華戲院
19		/cinema/details/56	星影匯
20		/cinema/details/25	百老匯 數碼港
21		/cinema/details/26	百老匯 旺角
22	電話 : 		
23	2377 2100		
24	地址 : 		
25	九龍尖沙咀廣東道3號海運大廈地下		
26	網址 : 		
27	http://www.goldenharvest.com		
