	name	shop_no	level	tele	5
0	:CHOCOOLATE	Fashion & Accessories	501-502	5/F	2104 7211
1	10/10 HOPE	Personal Care & Beauty	8F(eslite)	8/F	3419 6772
2	6IXTY 8IGHT	Fashion & Accessories	705-708A	7/F	2673 6833
3	ACCA KAPPA	Personal Care & Beauty	313-314	3/F	3580 1070
4	Accessorize	Kids’ Fashion & Lifestyle	302	3/F	2523 0068
5	Accessorize	Fashion & Accessories	302	3/F	2523 0068
6	adidas Performance	Sports	503-504	5/F	2576 9210
7	Aesop	Personal Care & Beauty	205	2/F	2567 9388
8	agnès b.	Fashion & Accessories	326	3/F	2297 0021
9	Anteprima Wirebag	Fashion & Accessories	329	3/F	2887 2138
10	Apple Store, Causeway Bay	Lifestyle, Electronics & Music	G01-03, 101-103, 201-203	1/F, 2/F, G/F	3979 3100
11	Apuweiser-riche	Fashion & Accessories	309	3/F	3547 2588
12	Area0264	Fashion & Accessories	424-425	4/F	2759 5692
13	BEYORG™ | Beyond Organic	Personal Care & Beauty	215-216	2/F	2870 0783
14	BIGPACK	Sports	402-403	4/F	2890 9278
15	C.P.U.	Sports	712-714	7/F	2242 2116
16	carrie carries	Personal Care & Beauty	301B	3/F	3428 5741
17	cha FOR TEA TO GO	Supermarket, Gourmet & Wine	10F(eslite)	10/F	3419 6780
18	Cha Ling	Personal Care & Beauty	206	2/F	3126 9981
19	CHANEL BEAUTÉ	Personal Care & Beauty	106-107	1/F	2503 2206
20	City Chain	Jewellery, Watches & Optical	303A, 303B	3/F	2750 9262
21	Converse	Sports	513	5/F	2702 9600
22	côte&ciel	Sports	514	5/F	3521 1207
23	DEMK	Fashion & Accessories	401A	4/F	2548 6885
24	Diamanti Per Tutti	Jewellery, Watches & Optical	3F(OpenSpace01)	3/F	2347 8068
25	DIDIER DUBOT	Jewellery, Watches & Optical	330-331	3/F	2652 6922
26	double-park	Fashion & Accessories	521-525	5/F	2760 4760
27	Dr. Martens	Fashion & Accessories	507	5/F	2892 1832
28	eGG	Jewellery, Watches & Optical	10/F(eslite)	10/F	3419 6793
29	eGG*	Jewellery, Watches & Optical	401B	4/F	
30	ERNO LASZLO	Personal Care & Beauty	320	3/F	2565 0388
31	eslite	Lifestyle, Electronics & Music	8/F-10/F	8/F-10/F	3419 6789
32	eslite	Kids’ Fashion & Lifestyle	8/F-10/F	8/F-10/F	3419 6789
33	Florist Café HayFever	Lifestyle, Electronics & Music	9/F(eslite)	9/F	6039 2886
34	Forever Play	Kids’ Fashion & Lifestyle	8F	8/F	3419 6789
35	fresh	Personal Care & Beauty	108	1/F	2539 0789
36	FX Creations	Fashion & Accessories	10/F(eslite)	10/F	3419 6793
37	GAP	Fashion & Accessories	109-112, 113	1/F	2907 8368
38	GAP KIDS & baby GAP	Fashion & Accessories	411-414/416-417, 415	4/F	2907 8368
39	GAP KIDS Baby GAP	Kids’ Fashion & Lifestyle	411-414/416-417, 415	4/F	2907 8368
40	Glory Bakery	Supermarket, Gourmet & Wine	10/F(eslite)	10/F	3419 6793
41	Green sun garden	Supermarket, Gourmet & Wine	10F(eslite)	10/F	3419 6789
42	H PRIVATE i SALON & PRIVATE i Beauty	Personal Care & Beauty	626-627	6/F	2577 2239
43	Hachill	Jewellery, Watches & Optical	526	5/F	3565 4917
44	Her own words	Fashion & Accessories	701-702	7/F	2868 3307
45	Herschel	Fashion & Accessories	410	4/F	2889 3131
46	HKID Gallery	Fashion & Accessories	520	5/F	3421 1825
47	Hoax	Fashion & Accessories	709	7/F	2337 8327
48	Hollister	Fashion & Accessories	218-220, 327-328	2/F, 3/F	2524 0913
49	House of Avenues	Fashion & Accessories	710-711	7/F	2524 3977
50	HSBC Hysan Place Express Banking	Others	217B	2/F	
51	i.t blue block	Fashion & Accessories	601-625, 628-632	6/F	2367 2311
52	ibility	Fashion & Accessories	10F(eslite)	10/F	3419 6775
