,Shop Name,Shop No.,Floor,Telephone
0,AAPE BY *A BATHING APE®,020,G/F,(852) 2363 7385
1,ABC Cooking Studio,148 & 149,1/F,(852) 2568 1722
2,adidas,018A,G/F,(852) 2907 0158
3,AĒSOP,212,2/F,(852) 2567 6232
4,agnès b.,280-282,2/F,(852) 2885 9803
5,Aigle,067,G/F,(852) 2873 2332
6,ALDO,291,2/F,(852) 2206 4298
7,Alice House,249,2/F,(852) 2568 2553
8,APITA,,B1 & G/F,(852) 2885 0331
9,APM Monaco,238,2/F,(852) 3104 9288
10,ASHWORTH,248,2/F,(852) 2884 4987
11,b+ab,104,1/F,(852) 2576 3579
12,Bank of Communications,038,G/F,(852) 3989 3290
13,bauhaus,028,G/F,(852) 2285 9170
14,Blue Bears,272,2/F,(852) 2904 8360
15,BOBBI BROWN,235,2/F,(852) 3580 2760
16,BRAND OFF,120,1/F,(852) 2967 6137
17,bread n butter,250,2/F,(852) 2568 7677
18,BROADWAY,410,4/F,(852) 2884 0324
19,Calvin Klein Jeans,294,2/F,(852) 2967 0840
20,Calvin Klein Underwear,303A,3/F,(852) 2915 3230
21,CAMPER,143,1/F,(852) 2907 0457
22,Catalog,404 - 405,4/F,(852) 2907 0186
23,Cath Kidston,285,2/F,(852) 2715 5738
24,CD WAREHOUSE,407,4/F,(852) 3528 0992
25,CHALLENGER,,B2,(852) 2539 8438
26,CHANEL BEAUTÉ,225 - 226,2/F,(852) 2979 4878
27,Chicco,277,2/F,(852) 2185 6029
28,Chickeeduck,270,2/F,(852) 2569 2062
29,CHINA CITIC BANK INTERNATIONAL,063,G/F,(852) 3603 3190
30,China Construction Bank (Asia),001 - 002,G/F,(852) 3718 7380
31,Chow Sang Sang,119,1/F,(852) 2569 6083
32,City Chain,117,1/F,(852) 2577 9841
33,Cityplaza Ice Palace Skate Shop,,1/F,(852) 2844 8688
34,Clean Living,B1-APITA,B1,(852) 2535 7768
35,Clémence by rue Madame,263,2/F,(852) 3428 5168
36,CLINIQUE,234,2/F,(852)2884 9228
37,Club Monaco,274,2/F,(852) 2113 2455
38,COACH,,"278A, 2/F",(852) 2907 0827
39,Columbia Sportswear Company,031-033,G/F,(852) 2569 8200
40,COVERMARK,232,2/F,(852) 2560 0146
41,crocs,116,1/F,(852) 2451 9511
42,csl,058,G/F,(852) 2512 3123
43,Curate,,"1/F, GH2",(852) 5961 2639
44,d2r,018B,G/F,(852) 2344 9081
45,DBS Treasures at Taikoo Shing,037,G/F,(852) 3668 2290
46,double-park,020,G/F,(852) 2363 7063
47,Dyson Supersonic™ pop up store,113,1/F,
48,ECCO,146,1/F,(852) 2907 0866
49,eGG Optical Boutique,118,1/F,(852) 2523 4542
50,ERNO LASZLO,233,2/F,(852) 2511 7988
51,eslite spectrum,074 & 144,G/F1/F,(852) 3419 1188
52,ESTĒE LAUDER,278,2/F,(852) 2886 9312
53,Eu Yan Sang,128B,1/F,(852) 2886 3216
54,FANCL,242 & 243,2/F,(852) 3622 0719
55,FORTRESS,418,4/F,(852) 2568 2280
56,Francfranc,210,2/F,(852) 3427 3366
57,FRED PERRY,,"1/F, 108",(852) 2967 7725
58,FRIZON BY MAUD FRIZON,238A,2/F,(852) 2569 1880
59,FURLA,258 - 259,2/F,(852) 2515 0018
60,G2000 MAN,287,2/F,(852) 2907 0665
61,G2000 WOMAN,286,2/F,(852) 2907 0252
62,GEOX,252,2/F,(852) 2427 7088
63,GigaSports,034,G/F,(852) 2915 3360
64,Giordano (Under Renovation),306,3/F,(852) 2922 7126
65,Giordano Junior (Under Renovation),306,3/F,(852) 2922 7126
66,Giordano Ladies (Under Renovation),305,3/F,(852) 2922 7127
67,Global Work,052,G/F,(852) 2677 0630
68,GLYCEL,231,2/F,(852) 2511 6768
69,Go Wild,,"069A, G/F",(852) 2915 9738
70,H&M,245 & 301,2/F3/F,(852) 3101 4463
71,Her Own Words,236 - 237,2/F,(852) 2762 0866
72,Hiroshima,304,3/F,(852) 2907 0211
73,HOMELESS,211,2/F,(852) 2110 1984
74,Hong Thai Travel Services,061,G/F,(852) 2922 7780
75,HSBC Cityplaza Branch & Premier Centre Cityplaza Express,065,G/F,(852) 2233 3322
76,i.t,020 & 104,G/F1/F,(852) 2576 3155 / (852) 2576 3255
77,Ice Fire,268-268A,2/F,(852) 2885 5265
78,initial,302,3/F,(852) 2809 2266
79,innisfree,110,1/F,(852) 3101 1928
80,izzue,008,G/F,(852) 2441 5727
81,JC Shop,408,4/F,(852) 2618 2488
82,Joy & Peace,150,1/F,(852) 2590 7503
83,Juicy Couture,264A,2/F,(852) 2983 8369
84,Jumpin Gym USA,103B,1/F,(852) 2560 0003
85,Jurlique,230,2/F,(852) 2885 9606
