	bookmarks	dislikes	likes	movement	name	rank
0	809	1	33	chart-detail-indicator or-sprite d_chart_label_new_desktop	J-City 丼瀛	1
1	2.2K	4	106	chart-detail-indicator or-sprite d_chart_label_new_desktop	S2 Teppanyaki S2 鐵板燒	2
2	10K	6	242	chart-detail-indicator or-sprite d_chart_label_rise_desktop	SUPPA 十下	3
3	4.7K	7	27	chart-detail-indicator or-sprite d_chart_label_rise_desktop	Shake Shack	4
4	35.3K	73	520	chart-detail-indicator or-sprite d_chart_label_fall_desktop	Espuma	5
5	28.6K	29	296	chart-detail-indicator or-sprite d_chart_label_rise_desktop	The Cheesecake Factory 芝樂坊餐廳	6
6	7.4K	12	45	chart-detail-indicator or-sprite d_chart_label_fall_desktop	HEXA 六公館	7
7	6K	14	132	chart-detail-indicator or-sprite d_chart_label_rise_desktop	川婆婆	8
8	6.4K	3	87	chart-detail-indicator or-sprite d_chart_label_rise_desktop	Gyen Hutong Yakiniku Dining Bar 橘焱胡同燒肉夜食	9
9	20.8K	16	320	chart-detail-indicator or-sprite d_chart_label_rise_desktop	Kaifong Cafe 街坊Cafe	10
10	4.1K	7	86	chart-detail-indicator or-sprite d_chart_label_rise_desktop	Old Time Flavor 古早味台灣原味	11
11	10K	16	195	chart-detail-indicator or-sprite d_chart_label_fall_desktop	Champak Restaurant 青花	12
12	18.4K	14	304	chart-detail-indicator or-sprite d_chart_label_new_desktop	ATUM Restaurant	13
13	7.2K	5	180	chart-detail-indicator or-sprite d_chart_label_new_desktop	Majimeya 北海道爐端燒	14
14	5K	7	61	chart-detail-indicator or-sprite d_chart_label_fall_desktop	Tearapy 茶聊	15
15	7.9K	20	136	chart-detail-indicator or-sprite d_chart_label_fall_desktop	XIHEYAYUAN 羲和雅苑	16
16	6.5K	8	225	chart-detail-indicator or-sprite d_chart_label_fall_desktop	老川皇	17
17	17.8K	11	297	chart-detail-indicator or-sprite d_chart_label_rise_desktop	The Drunken Pot 酒鍋	18
18	3.3K	5	236	chart-detail-indicator or-sprite d_chart_label_fall_desktop	Waki Shokudo 和氣食堂	19
19	2.3K	1	81	chart-detail-indicator or-sprite d_chart_label_new_desktop	養心殿台式養生鍋	20
20	3.4K	5	68	chart-detail-indicator or-sprite d_chart_label_new_desktop	La Postre	21
21	20.2K	23	348	chart-detail-indicator or-sprite d_chart_label_fall_desktop	Daimanki Japanese Restaurant 大滿喜日本料理	22
22	2.1K	1	42	chart-detail-indicator or-sprite d_chart_label_fall_desktop	Postcollectionhk Cafe 香港郵意	23
23	12.9K	9	379	chart-detail-indicator or-sprite d_chart_label_fall_desktop	Bingo & Cook	24
24	4.1K	3	62	chart-detail-indicator or-sprite d_chart_label_new_desktop	Ikki Japanese Restaurant 一喜日本料理	25
25	6.2K	28	207	chart-detail-indicator or-sprite d_chart_label_rise_desktop	The Hangout by Under Vacuum 慢煮工業	26
26	12.5K	18	322	chart-detail-indicator or-sprite d_chart_label_fall_desktop	Aroy Khao Man Gai 阿來泰式地道風味	27
27	9.9K	12	258	chart-detail-indicator or-sprite d_chart_label_new_desktop	The Drunken Pot 酒鍋	28
28	27K	4	377	chart-detail-indicator or-sprite d_chart_label_fall_desktop	ATUM Desserant	29
29	1.8K	1	74	chart-detail-indicator or-sprite d_chart_label_new_desktop	Shoken 初見創作料理	30
