Link ID,Category,Topic,Difficulty,Link
1,Best Sellers,Real time top 50 travel destinations in Hong Kong on TripAdvisor ,1,https://en.tripadvisor.com.hk/Attractions-g294217-Activities-Hong_Kong.html#ATTRACTION_SORT_WRAPPER
2,Best Sellers,Yearly top 25 travel destinations on trip adviser,1,https://en.tripadvisor.com.hk/TravelersChoice-Destinations
3,Best Sellers,Weekly top 10 LIKE products of Taobao,1,https://top.taobao.com/?spm=a1z5i.1.2.1.hUTg2J&topId=HOME
4,Best Sellers,Hourly top 100 best sellers on amazon,1,https://www.amazon.com/Best-Sellers/zgbs
5,Demographics,HK semi-yearly population size by age group,1,https://www.censtatd.gov.hk/hkstat/sub/sp150.jsp?tableID=002&ID=0&productType=8
6,Environment,HK 9 days weather forecast by district,1,http://maps.weather.gov.hk/ocf/index_uc.html
7,Environment,HK hourly air pollution rate by district ,1,http://www.aqhi.gov.hk/tc.html
8,Environment,HK historical hourly rain by district,1,http://www.weather.gov.hk/wxinfo/rainfall/rf_record_uc.shtml?form=rfrecordc&Selmonth=05&Selday=08&Selhour=16
9,Environment,HK UV index,1,http://www.weather.gov.hk/wxinfo/uvindex/chinese/cdailymeanmax.htm
10,Price Watch,Real time price watch of 藥妝護理 of HKTV Mall,1,https://www.hktvmall.com/hktv/zh/beautynhealth?category=AA13500000000
11,Searching Key Words,Google Daily Hot keywords in Hong Kong,1,https://trends.google.com/trends/hottrends#pn=p10
#12,Shopping Malls,Fashion Walk,1,http://fashionwalk.com.hk/en/shoplist
##13,Shopping Malls,"K11, Tsim Sha Tsui",1,http://hk.k11.com/list/shop
#14,Shopping Malls,"International Finance Centre, Central",1,http://ifc.com.hk/en/mall/shopping/
#15,Shopping Malls,"Cityplaza, Taikoo Shing",1,http://www.cityplaza.com/en/shopping.aspx?sortby=alpha&criteria=
#16,Shopping Malls,"Citywalk, Tsuen Wan",1,http://www.citywalk.com.hk/site/mall_dir
##17,Shopping Malls,"Domain, Yau Tong",1,http://www.domain-mall.hk/index.php/shopping-directory
18,Shopping Malls,"East Point City, Hang Hau",1,http://www.eastpointcity.com.hk/en/shopping/
#19,Shopping Malls,"Festival Walk, Kowloon Tong",1,http://www.festivalwalk.com.hk/en/shopping/index.php
20,Shopping Malls,"Harbour City, Tsim Sha Tsui",1,http://www.harbourcity.com.hk/en/shop-dine/shop/
21,Shopping Malls,"Langham Place, Mong Kok",1,http://www.langhamplace.com.hk/en/#/shopping/guide/grid
#22,Shopping Malls,"Megabox, Kowloon Bay",1,http://www.megabox.com.hk/shopping_directory.php?mid=&smc=S&scid=4&sid=
23,Shopping Malls,"Mira Mall, Tsim Sha Tsui",1,http://www.miraplace.com.hk/shopping-directory/
#24,Shopping Malls,"New Town Plaza, Sha Tin",1,http://www.newtownplaza.com.hk/shopping
###25,Shopping Malls,"Pacific Place, Admiralty",1,http://www.pacificplace.com.hk/en/Style/Directory.aspx
#26,Shopping Malls,"Times Square, Causeway Bay",1,http://www.timessquare.com.hk/eng/shopping_list.php
#27,Shopping Malls,"Hysan Place, Causeway Bay",1,https://hp.leegardens.com.hk/#!/shopping
#28,Shopping Malls,"Elements, Jordan",1,https://www.elementshk.com/eng/elements/shopInfo/list
29,Shopping Malls,"EMAX, Kowloonbay International Trade & Exhibition Centre, Kowloon Bay",1,https://www.emaxhk.com/newshops.html
30,Shopping Malls,"apm, Millennium City 5, Kwun Tong",1,https://www.hkapm.com.hk/shop/
31,Shopping Malls,Link,1,https://www.linkhk.com/tc/shop/?cid=&did=&scid=
#32,Shopping Malls,"Sogo Hong Kong, Causeway Bay",1,https://www.sogo.com.hk/cwb/en/shopping-directory/shop-list.php
33,Shopping Malls,"Telford Plaza, Kowloon Bay",1,https://www.telford-plaza.com/eng/tp/shopping/list?pageNo=7&type=6
34,Social Media,Weibo real time top 50 topic,1,https://s.weibo.com/top/summary
35,Social Media,HK celebrity/KOL fans rate,1,https://www.socialbakers.com/statistics/facebook/pages/total/hong-kong/celebrities/
36,Society,HK Circle K Stores current Location ,1,http://www.circlek.hk/store
37,Society,Daily job vacancy in  Jobsdb,1,https://hk.jobsdb.com/hk
38,Transport,Real time LWB HK bus ETA,1,http://www.lwb.hk/tc/eta_enquiry.html
39,Best Sellers,Monthly top 10 travel destinations on 馬蜂窩 by cities,2,http://www.mafengwo.cn/sales/0-10189-M10819P台湾-0-0-0-0-0.html
40,Best Sellers,Real time top 50 bestsellers of Taobao by category,2,https://top.taobao.com/index.php?spm=a1z5i.3.3.2.h5dhRc&topId=TR_FS&leafId=50000671
41,Leasing and Renting,HK housing renting rate by district,2,http://hk.centanet.com/findproperty/zh-HK/Home/SearchResult?posttype=R&src=F
#42,Other Media,HK movie daily box office rate by districts,2,https://movie.yahoo-leisure.hk/cinema/details/20
43,Price Watch,Real time price watch of hotels in 馬蜂窩 ,2,http://www.mafengwo.cn/hotel/10189/
